id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price,flag,year_map,price_map,odometer_map,fold,pred
8,richmond,2013,bmw,excellent,6 cylinders,gas,127167,clean,manual,fwd,full-size,sedan,black,va,6036.0,train,9,0,0,0.0,9698.80319582861
27,fort wayne,2012,dodge,like new,4 cylinders,gas,9309,rebuilt,automatic,fwd,mid-size,sedan,white,in,15940.0,train,9,1,0,0.0,17217.90682355866
35,las cruces,2013,toyota,good,4 cylinders,gas,21293,clean,automatic,fwd,full-size,SUV,blue,nm,8403.0,train,9,0,0,0.0,14218.499293683395
37,tulsa,2006,ram,excellent,6 cylinders,diesel,141099,clean,manual,4wd,full-size,pickup,silver,ok,23375.0,train,8,2,0,0.0,21844.635200265475
48,colorado springs,2012,nissan,like new,4 cylinders,gas,124806,clean,automatic,fwd,compact,sedan,silver,co,8435.0,train,9,0,0,0.0,8952.51366291117
73,pueblo,2013,kia,excellent,4 cylinders,gas,137182,clean,automatic,fwd,compact,hatchback,silver,co,7564.0,train,9,0,0,0.0,7932.468558120216
76,killeen / temple / ft hood,2016,jeep,like new,6 cylinders,gas,61659,parts only,automatic,4wd,mid-size,SUV,blue,tx,39321.0,train,9,3,0,0.0,24555.96711790734
82,rhode island,2011,toyota,fair,4 cylinders,gas,188249,clean,automatic,fwd,mid-size,SUV,blue,ri,2154.0,train,8,0,1,0.0,5428.663115510751
100,jacksonville,2011,bmw,excellent,6 cylinders,gas,108774,clean,automatic,4wd,mid-size,SUV,red,fl,8563.0,train,8,0,0,0.0,15356.044985149583
101,tucson,2009,toyota,fair,6 cylinders,gas,220385,clean,automatic,fwd,full-size,SUV,green,-1,7426.0,train,8,0,1,0.0,3334.898185016348
104,tucson,2010,ford,excellent,4 cylinders,gas,24949,clean,automatic,4wd,mid-size,SUV,black,az,21529.0,train,8,2,0,0.0,20720.587061564987
129,la crosse,2012,ford,good,8 cylinders,gas,75510,clean,automatic,fwd,full-size,truck,white,wi,6278.0,train,9,0,0,0.0,18867.02471154829
147,humboldt county,2014,ford,excellent,8 cylinders,gas,16521,clean,automatic,4wd,mid-size,truck,black,ca,18419.0,train,9,1,0,0.0,29621.341569541404
171,winston-salem,2002,volkswagen,good,4 cylinders,gas,202170,clean,manual,fwd,full-size,coupe,silver,nc,5026.0,train,8,0,1,0.0,3749.2470993791017
179,oklahoma city,2012,honda,good,6 cylinders,gas,41822,clean,automatic,rwd,full-size,sedan,white,ok,16498.0,train,9,1,0,0.0,15910.205694853617
183,knoxville,2010,bmw,like new,6 cylinders,gas,85266,clean,automatic,fwd,mid-size,sedan,blue,tn,16234.0,train,8,1,0,0.0,10577.90353435482
204,new haven,1998,buick,excellent,6 cylinders,gas,176884,clean,automatic,fwd,full-size,sedan,green,ct,3482.0,train,7,0,1,0.0,5871.990185462861
208,inland empire,2010,chevrolet,good,8 cylinders,gas,93555,clean,automatic,rwd,full-size,truck,white,ca,21419.0,train,8,2,0,0.0,16256.27031349396
209,ft myers / SW florida,2011,toyota,excellent,4 cylinders,gas,24780,salvage,automatic,fwd,mid-size,sedan,black,fl,4201.0,train,8,0,0,0.0,12022.12081291591
212,billings,2010,jeep,good,6 cylinders,gas,139878,clean,automatic,4wd,full-size,SUV,silver,mt,4382.0,train,8,0,0,0.0,11363.874814280687
233,ventura county,2014,volkswagen,excellent,4 cylinders,gas,73132,clean,automatic,fwd,mid-size,sedan,silver,ca,8971.0,train,9,0,0,0.0,9651.001617968026
241,east idaho,2008,ram,excellent,6 cylinders,diesel,41559,clean,automatic,4wd,full-size,truck,black,id,23884.0,train,8,2,0,0.0,29208.388805733095
252,tulsa,2013,ram,fair,8 cylinders,gas,119809,clean,automatic,4wd,full-size,truck,black,ok,14669.0,train,9,1,0,0.0,17349.37171579173
273,northern michigan,2018,bmw,like new,6 cylinders,gas,105102,clean,other,4wd,mid-size,SUV,silver,mi,10975.0,train,9,1,0,0.0,17412.747971316938
284,colorado springs,2015,dodge,excellent,4 cylinders,gas,101052,clean,automatic,fwd,mid-size,sedan,silver,co,8974.0,train,9,0,0,0.0,12207.433607508932
292,mcallen / edinburg,2016,ford,like new,4 cylinders,gas,138618,clean,automatic,4wd,mid-size,truck,silver,tx,23676.0,train,9,2,0,0.0,20146.815796074396
306,new york city,2012,chevrolet,good,8 cylinders,gas,93922,clean,automatic,4wd,full-size,van,white,ny,26352.0,train,9,2,0,0.0,15301.138876838051
322,topeka,2005,chevrolet,excellent,6 cylinders,gas,100864,salvage,automatic,fwd,full-size,coupe,green,ks,5621.0,train,8,0,0,0.0,4848.47643643216
333,syracuse,1998,honda,excellent,4 cylinders,gas,217232,rebuilt,automatic,fwd,mid-size,sedan,silver,ny,4467.0,train,7,0,1,0.0,7071.844833958885
334,anchorage / mat-su,2015,audi,excellent,6 cylinders,-1,151914,rebuilt,automatic,fwd,mid-size,sedan,white,-1,19333.0,train,9,1,0,0.0,16664.741749426936
344,indianapolis,2015,bmw,like new,6 cylinders,gas,74055,rebuilt,automatic,rwd,mid-size,SUV,white,in,18325.0,train,9,1,0,0.0,25130.601794455866
345,cedar rapids,1985,ram,good,8 cylinders,gas,46895,clean,manual,4wd,full-size,truck,white,ia,28339.0,train,6,2,0,0.0,17162.17014557795
346,dallas / fort worth,2013,chevrolet,good,10 cylinders,gas,8012,clean,automatic,4wd,full-size,SUV,black,-1,17120.0,train,9,1,0,0.0,22276.497751186333
359,los angeles,2000,bmw,like new,6 cylinders,gas,195133,rebuilt,manual,rwd,mid-size,sedan,silver,ca,14712.0,train,7,1,1,0.0,10110.762294359349
373,nashville,2009,bmw,good,6 cylinders,gas,199469,clean,manual,fwd,mid-size,SUV,white,tn,21128.0,train,8,2,1,0.0,8395.730261133442
374,altoona-johnstown,2015,bmw,excellent,8 cylinders,gas,92316,clean,automatic,4wd,mid-size,sedan,black,pa,6422.0,train,9,0,0,0.0,15230.07385006131
397,richmond,2013,ford,good,4 cylinders,gas,67569,clean,other,fwd,full-size,sedan,red,va,14642.0,train,9,1,0,0.0,11584.763063127102
400,gadsden-anniston,2012,chevrolet,excellent,4 cylinders,gas,120420,clean,automatic,fwd,full-size,SUV,green,al,15667.0,train,9,1,0,0.0,10030.783210046548
417,daytona beach,2011,ford,excellent,6 cylinders,gas,21752,clean,automatic,rwd,full-size,pickup,black,-1,25897.0,train,8,2,0,0.0,25152.744000918276
422,danville,2013,fiat,like new,4 cylinders,gas,54646,salvage,manual,fwd,full-size,sedan,black,va,20661.0,train,9,2,0,0.0,12960.434365444382
435,rhode island,2013,ford,excellent,4 cylinders,gas,98976,clean,automatic,fwd,mid-size,sedan,black,ri,9647.0,train,9,0,0,0.0,10536.710930907646
438,tulsa,2017,chevrolet,good,8 cylinders,gas,16981,clean,manual,rwd,full-size,truck,black,ok,38137.0,train,9,3,0,0.0,29067.811108698243
447,new hampshire,2006,cadillac,excellent,6 cylinders,gas,111929,clean,automatic,fwd,mid-size,sedan,blue,nh,4371.0,train,8,0,0,0.0,6946.907600624216
462,orange county,2012,lincoln,excellent,6 cylinders,gas,134874,clean,automatic,rwd,full-size,sedan,black,ca,6452.0,train,9,0,0,0.0,13237.494301701945
464,rochester,2008,nissan,excellent,4 cylinders,gas,91195,clean,automatic,fwd,full-size,SUV,blue,ny,6335.0,train,8,0,0,0.0,10554.551726725495
465,"st louis, MO",2013,toyota,excellent,6 cylinders,gas,86617,clean,automatic,fwd,full-size,coupe,black,mo,5035.0,train,9,0,0,0.0,12419.182679636626
468,sacramento,2015,kia,excellent,4 cylinders,gas,60456,rebuilt,automatic,fwd,mid-size,sedan,black,ca,8826.0,train,9,0,0,0.0,12405.626326609336
