region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,pred,price,id
oregon coast,2014,volkswagen,excellent,6 cylinders,gas,131104,clean,automatic,fwd,mid-size,sedan,blue,or,8951.453689837595,5860.0,6
billings,2011,bmw,excellent,6 cylinders,-1,101850,clean,manual,4wd,full-size,SUV,black,mt,16257.295314971125,10880.0,10
worcester / central MA,2005,ford,excellent,6 cylinders,gas,107934,clean,automatic,fwd,mid-size,SUV,black,ma,9478.803741192212,17244.0,14
palm springs,2008,ford,good,4 cylinders,gas,162412,clean,manual,fwd,mid-size,sedan,red,ca,5194.779650831362,3907.0,21
cincinnati,2014,ford,excellent,6 cylinders,gas,83288,clean,automatic,fwd,full-size,SUV,white,oh,15643.041228063172,20237.0,22
lancaster,2012,bmw,excellent,6 cylinders,gas,155568,clean,automatic,4wd,mid-size,SUV,blue,pa,15882.289820007747,11945.0,25
fort wayne,2012,dodge,like new,4 cylinders,gas,9309,rebuilt,automatic,fwd,mid-size,sedan,white,in,17368.99294915027,15940.0,27
sarasota-bradenton,1992,chevrolet,good,8 cylinders,gas,64430,clean,manual,rwd,full-size,truck,black,fl,16403.445018447703,8432.0,34
las cruces,2013,toyota,good,4 cylinders,gas,21293,clean,automatic,fwd,full-size,SUV,blue,nm,14529.305053762859,8403.0,35
fresno / madera,2012,volkswagen,fair,6 cylinders,gas,152452,clean,manual,fwd,compact,sedan,blue,ca,4627.7917372004595,7142.0,39
norfolk / hampton roads,2013,ford,good,4 cylinders,gas,174294,clean,automatic,fwd,full-size,sedan,black,va,7183.927533590933,6411.0,40
western massachusetts,2013,ford,excellent,6 cylinders,gas,103601,clean,automatic,rwd,full-size,truck,black,ma,18912.74845734774,17873.0,43
eau claire,2011,gmc,excellent,8 cylinders,diesel,97739,clean,automatic,4wd,full-size,SUV,black,wi,21266.50711504533,13755.0,58
colorado springs,1999,chevrolet,good,8 cylinders,gas,160687,clean,automatic,4wd,full-size,SUV,black,co,9140.620395578211,13087.0,69
albany,2012,ford,good,8 cylinders,gas,126666,clean,automatic,4wd,full-size,pickup,blue,-1,15236.056043855613,17869.0,75
"kansas city, MO",2012,dodge,excellent,6 cylinders,gas,109028,rebuilt,automatic,fwd,mid-size,sedan,blue,mo,10723.740300928941,8886.0,90
tucson,2009,toyota,fair,6 cylinders,gas,220385,clean,automatic,fwd,full-size,SUV,green,-1,3692.22167892172,7426.0,101
orange county,2014,ford,excellent,6 cylinders,gas,121382,salvage,automatic,4wd,compact,offroad,black,ca,16172.344260364538,17791.0,125
baltimore,2014,ford,excellent,4 cylinders,gas,72493,clean,automatic,fwd,full-size,SUV,black,md,15465.859362892574,24342.0,133
western massachusetts,2017,jeep,excellent,6 cylinders,gas,16219,clean,manual,4wd,full-size,SUV,blue,ma,30293.998893325916,18140.0,134
rochester,2018,jeep,fair,6 cylinders,gas,7299,clean,manual,4wd,mid-size,SUV,black,ny,26392.89642938017,18664.0,152
rochester,2016,honda,like new,6 cylinders,gas,73174,clean,automatic,fwd,full-size,SUV,blue,ny,18042.617488963297,20326.0,165
south jersey,2007,ford,like new,4 cylinders,gas,338606,clean,manual,4wd,mid-size,SUV,green,nj,7906.067128561204,3984.0,166
